035__a,5880_a,Status,520__a-1,983__a-1,983__d-1,983__t-1,Image Name,Link to record,Collection name
calher_cubanc_25_132_00181030,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Photograph Description

This sepia-toned photograph shows a horse-drawn delivery wagon parked on a city street in front of a storefront. A white horse is harnessed to pull a wooden cart with large spoked wheels. Two people are visible on the wagon: a woman seated in the cart and a man standing behind, wearing a light-colored shirt and cap. The storefront behind displays signage reading ""BOTTLERS SUPPLIES"" and ""Real FLAVOR & EXTRACT,"" with additional partial text visible including ""MILK"" and what appears to be product names like ""ORANGE ADE"" and ""SARATOGA."" The storefront has large windows and the building appears to be several stories tall. A vintage automobile is partially visible in the background to the right. The photograph appears to be from the early 20th century and has yellowed with age, with visible wear and damage to the edges of the paper mount.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0051531A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_132_00181030,Jesse Brown Cook Scrapbooks Documenting San Francisco History and Law Enforcement
calher_cubanc_25_144_00171892,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

This is a black and white photograph showing a man working with what appears to be a cake or baked good on a work surface. The man is wearing glasses, a white collared shirt with a dark tie, and a white apron with text on it. He is using both hands to work with the white frosting or icing on top of the cake in front of him. In the background, there are other people partially visible, shelving units with items on them, and what appears to be an interior workspace. On the left side of the image, a dark colored garment is hanging. The photograph appears to be from a mid-20th century time period based on the styling, clothing, and photographic quality.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0032581A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171892,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
calher_cubanc_25_144_00171902,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows a young child with dark hair styled with a bow, positioned in the lower center portion of the image. The child is holding a lollipop near their mouth and appears to be looking upward. To the left side of the child's face, a small American flag with stars and stripes is visible. Behind the child, the background contains decorative elements including what appears to be a repeating pattern of pagoda or Asian architectural structures with ornate details in the upper left area, and large geometric lettering or signage on the right side of the frame. At the very bottom of the image is a grayscale reference strip used for photographic quality and color calibration purposes. The photograph appears to be a vintage print, likely from several decades ago based on its style and condition.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0032591A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171902,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
calher_cubanc_25_144_00171906,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

This black and white photograph shows five men in what appears to be an interior setting, likely from the mid-20th century. One man stands on the left side wearing a light-colored shirt and dark vest, while four other men are seated or positioned around a table. The seated men wear casual clothing including checkered and plain shirts. The wall behind them features decorative fish-shaped designs and mounted fishing equipment or rods. On the right side of the image, a large curved metallic object, possibly a decorative mirror or sculptural piece, is visible. Glasses appear to be on the table, and the overall composition suggests this may be a social gathering or meeting in a restaurant, bar, or recreational facility. The photograph has the characteristic quality and coloring of vintage documentary or journalistic photography.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0032595A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171906,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
pictman_cubanc_79_55_00211558,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows four people seated around a table in a kitchen setting. From left to right: an older man with minimal hair wearing a light-colored sleeveless shirt, a younger man with dark hair and glasses wearing a dark shirt, a woman with long dark hair wearing a checkered short-sleeved shirt and a dark hat, and a man with dark hair and a prominent mustache wearing a light-colored short-sleeved shirt. The table in front of them holds various plates, bowls, and jars with what appears to be food items. The kitchen background features white walls with dark trim, a stove, countertops on the left side with various items including containers and utensils, a decorative shelf with hanging kitchen tools, wall decorations including a clock and a butterfly cutout, a calendar on the right wall, and various stored items. A color reference scale is visible on the right edge of the photograph.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00007255_24a_k.jpg,https://berkeley.tind.io/r/sys-num/pictman_cubanc_79_55_00211558,Chauncey Hare photograph archive.
calher_cubanc_25_148_00172263,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

This is a stereoscopic card from the Keystone View Company, a manufacturer of stereoscope pictures, numbered 58 and labeled 21084. The card contains two nearly identical sepia-toned photographs side by side, designed to create a three-dimensional effect when viewed through a stereoscope. The images show a woman in early 20th-century clothing (long dress and hat) hand-feeding ice cream to a small black bear cub that stands upright on its hind legs. The scene takes place outdoors in what appears to be an enclosure, with a wire mesh fence visible in the background, brick buildings, and foliage visible behind the fence. The caption at the bottom reads: ""Mrs. Herbert Hoover Feeds Ice Cream to a Small Black Bear Cub, Seward, Alaska."" A grayscale tone strip for color reference appears at the top of the card, and text along the left edge identifies this as part of the ""Keystone View Company Miscellaneous Builders"" collection.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0047608A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_148_00172263,"Stereographs of the West, ca. 1858-1906"
BancSelect_brk00000894_24b_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

This black and white photograph shows three people seated at a dark table in an indoor setting. On the left is a woman with styled blonde hair wearing a dark jacket over a light-colored blouse, smiling at the camera. In the center is a young boy in a light-colored shirt holding an ice cream cone and what appears to be a small glass, with his mouth open as if eating. On the right is a U.S. military officer in uniform wearing a tall military cap, multiple service ribbons on his chest, and a belt with buckle, displaying a distinctive mustache. On the left side of the table is a vintage jukebox or similar coin-operated device with decorative elements. The background shows plain walls and what appears to be windows. The photograph has the characteristic quality and styling of mid-20th century documentation.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00000894_24b_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00000894_24b_k,Selections from The Bancroft Library
BancSelect_brk00004952_24a_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows five men in an interior setting, seated and standing around a table. An older man in a white shirt and dark vest stands on the left, speaking to three younger men seated at the table wearing casual clothing—one in a checkered shirt, one in a white t-shirt, and one in a patterned shirt. A fourth man stands in the background. On the table in front of them are glasses with drinks. The wall behind them displays decorative items including what appears to be hanging baskets, framed artwork, and cylindrical objects mounted horizontally. A origami crane or similar paper decoration hangs from the upper middle section of the wall. The room has wooden wainscoting on the lower portion of the walls. At the bottom of the image is a metric ruler and a color reference chart used for archival documentation. The photograph appears to be a historical document, likely from the mid-20th century.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00004952_24a_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00004952_24a_k,Selections from The Bancroft Library
BancSelect_brk00005524_24a_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This is a black and white photograph showing a young child with dark hair styled with bows on either side of their head. The child is looking upward with mouth open, appearing to be eating or about to eat something held in their hand. The child wears a light-colored garment with floral or decorative patterns. Behind the child is a backdrop featuring repeated images of what appears to be vintage computer or electronic equipment arranged in a pattern, along with decorative boot-shaped designs with scalloped edges on the left side. A small American flag is visible in the lower left portion of the background. At the bottom of the photograph is a metric ruler showing measurements from 1 to 15, and a color calibration chart displaying various colored squares including black, white, pink, red, yellow, green, and blue.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00005524_24a_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00005524_24a_k,Selections from The Bancroft Library
bonney_cubanc_45_3_00218625,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This is a black and white photograph of a European street scene, likely from Paris, showing a cobblestone courtyard or square. In the center, a group of approximately twenty people dressed in long coats and hats are gathered in a cluster, appearing to be waiting in line or assembled for a purpose. On the left side of the image stands a large Haussmann-style building with ornate architectural features, including decorative cornices, tall shuttered windows with ornamental metalwork, and a wrought-iron balcony railing on an upper floor. A sign reading ""COIFFEUR"" (hairdresser) is visible on the building's storefront. To the right are additional apartment buildings with similar period architecture. The ground is paved with geometric stone tiles in a herringbone or similar pattern. Several individual figures are scattered around the periphery of the main group. The sky is overcast, and the overall image has the grainy quality typical of mid-twentieth century photography.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,cubanc_45_3_01256329b_ii.jpg,https://berkeley.tind.io/r/sys-num/bonney_cubanc_45_3_00218625,Thérèse Bonney Photograph Collection circa 1850-circa 1955
