035__a,5880_a,Status,520__a-1,983__a-1,983__d-1,983__t-1,Image Name,Link to record,Collection name
calher_cubanc_25_132_00181030,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Description

This is a sepia-toned photograph showing a horse-drawn delivery wagon on a city street. A light-colored horse is harnessed to pull a wooden cart with large spoked wheels. The cart carries two people and is loaded with what appears to be product boxes and containers. A storefront is visible in the background with signage that reads ""BOTTLERS SUPPLIES"" and ""Real FLAVOR & EXTRACT,"" along with partial text mentioning ""MILK"" and ""ORANGE ADE."" A man in a white shirt and cap stands on an elevated platform at the rear of the cart, while another person sits lower on the vehicle. The storefront behind the cart shows display windows and architectural details typical of early 20th-century commercial buildings. The photograph appears to be a historical document of a milk or beverage delivery operation, mounted on a cream-colored backing with marked edges consistent with archival presentation.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0051531A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_132_00181030,Jesse Brown Cook Scrapbooks Documenting San Francisco History and Law Enforcement
calher_cubanc_25_144_00171892,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows a man wearing glasses, a white dress shirt, dark vest, and a light-colored apron working on decorating a cake. He is focused on his task, holding a piping bag or decorating tool in his hands while applying frosting or icing to a large round cake positioned on what appears to be a work surface or table in front of him. The man has dark hair styled neatly and appears to be a professional baker or pastry chef. In the background, other figures can be seen standing, though they are partially out of focus. Additional baked items and work surfaces are visible in the blurred background. The photograph appears to be a vintage professional or documentary image, likely from several decades ago based on the photographic quality and styling.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0032581A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171892,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
calher_cubanc_25_144_00171902,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This is a black and white photograph showing a young child with dark hair pulled back with a bow, positioned in the center-right of the frame. The child has their hand near their mouth and is looking upward. They are wearing a light-colored garment with patterned fabric visible on the sleeve. In the lower left of the image, a small American flag with stars and stripes is partially visible. Behind the child is decorative background scenery featuring ornate architectural elements on the left side, including curved white designs, and large stylized text reading ""FOR"" on the right side. At the bottom of the photograph is a grayscale reference strip used in photographic documentation. The overall image quality and style suggest this is a vintage or archival photograph.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0032591A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171902,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
calher_cubanc_25_144_00171906,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows five men in what appears to be an interior space, likely from the mid-20th century. Four men are seated around a table in the foreground, while one man stands to the left wearing a light-colored shirt and dark vest. The seated men are wearing various casual shirts in different patterns and colors. On the wall behind them are several mechanical or aeronautical objects mounted horizontally, including what appear to be missile or aircraft components, along with some sketched drawings above them. To the right side of the image is what looks like a tall, vertically-oriented mechanical device or radio component. A small potted plant sits on the table where the men are gathered. The photograph has a documentary or archival quality, mounted on a light-colored backing with a grayscale reference strip visible on the left edge.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0032595A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171906,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
pictman_cubanc_79_55_00211558,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows four people seated around a table in a kitchen, appearing to share a meal or gathering. From left to right: an older man with a round face wearing a light-colored sleeveless shirt, a younger man with glasses and dark hair wearing a dark shirt, a woman with long dark hair wearing a checkered or patterned shirt and a hat, and a man with dark hair and a mustache wearing a light-colored short-sleeved shirt. The table in front of them contains various plates, bowls, and food items. Behind them, the kitchen features white walls with storage shelves, hanging kitchen utensils, a gas stove, cabinet doors, and various items hung on the walls including photographs, a butterfly decoration, a clock, and what appears to be a calendar. The left side of the image shows additional kitchen appliances and storage. A color reference scale is visible on the right edge of the photograph.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00007255_24a_k.jpg,https://berkeley.tind.io/r/sys-num/pictman_cubanc_79_55_00211558,Chauncey Hare photograph archive.
calher_cubanc_25_148_00172263,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Stereoscopic Card Description

This is a vintage stereoscopic card (stereograph) numbered 58 and 21084, printed by Keystone View Company. The card displays two nearly identical sepia-toned images side by side, a format designed to create a three-dimensional effect when viewed through a stereoscope. The images show a woman in early 20th-century dress feeding ice cream to a small black bear cub. The woman wears a dark coat with white gloves and appears to be extending a spoon or utensil toward the bear's mouth. The bear stands on its hind legs. Behind them is a brick structure with a mesh or latticed panel. Vegetation and foliage are visible in the background. The caption at the bottom reads ""Mrs. Herbert Hoover Feeds Ice Cream to a Small Black Bear Cub, Seward, Alaska."" Text on the left margin reads ""Keystone View Company, Meadville, Pennsylvania"" with additional publication information on the right margin. A grayscale tone reference strip appears at the top of the card.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0047608A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_148_00172263,"Stereographs of the West, ca. 1858-1906"
BancSelect_brk00000894_24b_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows three people seated at a dark table in an interior setting. On the left is a woman wearing a dark jacket over a light-colored blouse, her hair styled in waves typical of mid-20th century fashion. In the center is a young boy in a light-colored shirt holding an ice cream cone up to his mouth. On the right is a U.S. military officer wearing a dress uniform with insignia, medals, and a distinctive tall military cap with a Chevrolet logo visible on it. The officer has a prominent mustache. On the table in front of them are glasses and what appears to be an ashtray. To the left side of the image is a vintage slot machine or similar device with a circular dial visible. A window or glass pane can be seen in the background on the upper left. The photograph appears to be from approximately the 1940s based on the styling and clothing visible.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00000894_24b_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00000894_24b_k,Selections from The Bancroft Library
BancSelect_brk00004952_24a_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows five men in an indoor setting that appears to be a restaurant or dining establishment. An older man wearing a white shirt and dark vest stands on the left, leaning in and speaking with three younger men who are seated at a table. A fourth man is partially visible in the background. The seated men are wearing casual clothing including a checkered shirt and plain t-shirts. On the table in front of them are glasses containing beverages. The walls behind them display decorative elements including what appear to be origami or paper decorations, including visible paper cranes and hanging baskets. Two cylindrical objects mounted on the wall resemble airplane fuselages or similar industrial items. The photograph has a color reference bar at the bottom showing a metric scale and color chips for archival purposes, indicating this is a professional documentation photograph.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00004952_24a_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00004952_24a_k,Selections from The Bancroft Library
BancSelect_brk00005524_24a_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows a young child with dark hair styled with bows on each side of the head, looking upward with mouth open. The child is wearing what appears to be a patterned garment with floral or decorative designs. Behind the child is a backdrop featuring various decorative elements including illustrated shoes or boots with detailed stitching patterns at the top, and large typographic letterforms on the right side. A small American flag with stars and stripes is visible in the lower left portion of the backdrop. At the bottom of the image is a metric measurement scale showing numbered increments from 1 to 15, used for photographic documentation purposes. The overall image appears to be a formal photograph, possibly from a mid-20th century time period based on the styling and photographic quality.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00005524_24a_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00005524_24a_k,Selections from The Bancroft Library
bonney_cubanc_45_3_00218625,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Description

This black and white photograph shows a street scene in what appears to be Paris, featuring a group of approximately twenty people gathered in the center of a cobblestone courtyard or plaza. The crowd is assembled around what looks like a street vendor or small market stall with an umbrella or canopy. On the left side of the image stands a man in a coat and hat observing the gathering from a distance.

The buildings surrounding the plaza are Parisian architecture featuring rusticated stone facades on the ground level with large arched and rectangular windows fitted with shutters. A prominent storefront sign reading ""COIFFEUR"" (hairdresser) is visible on the middle building's facade. Above the storefronts are ornate wrought iron balconies and additional levels with regularly spaced windows. The buildings to the right show varied construction styles, including brick elements and stone decoration.

The scene captures a moment of everyday urban life, with well-dressed figures in period clothing, suggesting this photograph was taken sometime in the mid-20th century. The architectural details and street layout are characteristic of a Parisian neighborhood or courtyard area.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,cubanc_45_3_01256329b_ii.jpg,https://berkeley.tind.io/r/sys-num/bonney_cubanc_45_3_00218625,Thérèse Bonney Photograph Collection circa 1850-circa 1955
