035__a,5880_a,Status,520__a-1,983__a-1,983__d-1,983__t-1,Image Name,Link to record,Collection name
calher_cubanc_25_132_00181030,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

A sepia-toned photograph shows a horse-drawn delivery wagon parked in front of a storefront. A large white horse is hitched to the wagon, which has wooden spoke wheels and is loaded with various delivery boxes and crates. Two people are visible on the wagon: a woman seated in the cargo area and a man standing elevated at the back. The storefront behind the wagon displays signage reading ""SUPPLIES,"" ""Bea FLAVOR & EXTRACT,"" and other partially visible text including ""MILK"" and what appears to be product names. Additional delivery vehicles and storefronts are visible in the background on the street. The photograph appears to be from the early 20th century, documenting a commercial delivery operation.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0051531A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_132_00181030,Jesse Brown Cook Scrapbooks Documenting San Francisco History and Law Enforcement
calher_cubanc_25_144_00171892,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

This black-and-white photograph shows a man wearing glasses, a white apron, and a dark vest over a light-colored striped shirt, working on decorating a cake. He is focused on piping frosting onto a round cake placed on a surface in front of him, using what appears to be a pastry bag held in both hands. The cake has a textured, granular surface with white frosting decorations already applied. In the background, blurred figures of other people can be seen, along with wooden shelving or furniture. To the left side of the image, dark fabric or clothing is visible hanging. The photograph appears to be a professional or documentary-style image, likely from a bakery or culinary demonstration setting.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0032581A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171892,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
calher_cubanc_25_144_00171902,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows a young child with dark hair styled with bows on either side of the head. The child is looking upward with mouth open and has one hand near their face. They are wearing what appears to be a light-colored garment. In the background, there is decorative Asian-inspired artwork featuring stylized pagoda or temple-like structures with ornate curved roofs arranged vertically on the left side. On the right side, large geometric letters or characters are visible in a light gray tone. A small American flag with stars is visible in the lower left portion of the image near the child's shoulder. At the bottom of the photograph is a standard grayscale reference strip used in photography. The overall composition appears to be a vintage photograph, likely from the mid-20th century.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0032591A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171902,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
calher_cubanc_25_144_00171906,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows five men in what appears to be an interior setting, likely from the mid-20th century. In the foreground, four men are seated or positioned around a table—three younger men wearing light-colored shirts and one older man in a dark vest and light-colored shirt standing to the left. A fifth person is visible in the background near what appears to be a window or counter. The walls are decorated with various hanging objects including what looks like decorative items and possibly tools or implements mounted at the top. On the right side of the image, there is a tall, narrow wooden cabinet or piece of furniture with vertical paneling. The photograph appears to be mounted on a light-colored backing or mat. The image quality and styling suggest this is a historical document or archival photograph.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0032595A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171906,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
pictman_cubanc_79_55_00211558,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows four people seated around a table in a kitchen setting, appearing to share a meal or gather together. From left to right: an older man with minimal hair wearing a light-colored sleeveless shirt, a younger man wearing glasses and a dark shirt, a woman wearing a checkered or patterned short-sleeved shirt and a hat, and another man with dark hair and a mustache wearing a light-colored collared shirt. The table in front of them displays plates, glasses, and what appears to be food items. Behind them, the kitchen features white walls with various items mounted or hanging: a stove with controls, hanging cooking utensils, a shelf with items on top, decorative photographs on the wall, a circular clock, a butterfly decoration, and a calendar. Kitchen appliances and containers are visible on the counters to the left side of the image. A color reference scale appears on the right edge of the photograph.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00007255_24a_k.jpg,https://berkeley.tind.io/r/sys-num/pictman_cubanc_79_55_00211558,Chauncey Hare photograph archive.
calher_cubanc_25_148_00172263,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

This is a stereoscopic card (stereograph) containing two nearly identical sepia-toned photographs side by side, labeled with number 58 at the top and 21084 at the bottom. The card is produced by Keystone View Company, with text on the left margin reading ""Keystone View Company Producers Consistency Publishers"" and on the right margin reading ""Manufactured by Keystone View Company, Meadville, Pa. Copyright Enforced.""

Both photographs show the same scene: an adult woman in early 20th-century clothing (long dark coat and hat) is feeding ice cream to a small black bear cub standing on its hind legs. The scene takes place outdoors in front of a brick building with mesh or wire material visible on its wall. Vegetation and foliage are visible in the background. The caption at the bottom of the card reads: ""Mrs. Herbert Hoover Feeds Ice-Cream To a Small Black Bear Cub, Seward, Alaska.""

A grayscale reference chart with graduated tones from white to black is visible at the very top of the image.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0047608A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_148_00172263,"Stereographs of the West, ca. 1858-1906"
BancSelect_brk00000894_24b_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Black and White Photograph Description

This black and white photograph shows four people seated at a dark table in what appears to be an indoor venue. On the left is a woman with styled hair wearing a dark jacket and light-colored blouse, smiling at the camera. Next to her is a young child in a light-colored shirt holding what appears to be an ice cream cone to his mouth. To the right stands a U.S. military officer wearing a uniform with multiple insignia, medals, and decorations on his chest, a belt with a buckle, and a tall military cap with a chevron emblem. The officer has a distinctive mustache. On the far left side of the image is what appears to be a vintage machine or device with a circular dial or gauge. A small ashtray is visible on the table surface. The background shows plain walls and what appears to be a window or glass partition in the upper left. The photograph has the grainy quality typical of mid-20th century photography.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00000894_24b_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00000894_24b_k,Selections from The Bancroft Library
BancSelect_brk00004952_24a_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows five men in what appears to be an interior space, likely a restaurant or lounge. An adult man wearing a dark vest and light-colored shirt stands on the left side, leaning toward and speaking with three younger men who are seated at a table. A fourth man is visible in the background. The seated men wear casual clothing including a checkered shirt and plain t-shirts. On the table in front of them are glasses with drinks. The wall behind them features decorative elements including what appears to be a painted mural with birds and hanging ornamental objects. On the right side of the image, portions of wooden chair backs are visible. The photograph includes a color reference scale at the bottom with numbered increments from 1 to 15 and various color blocks, indicating this is a professional or archival photograph. The lighting and composition suggest this may be a documentary or journalistic photograph from several decades ago.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00004952_24a_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00004952_24a_k,Selections from The Bancroft Library
BancSelect_brk00005524_24a_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

This is a black and white photograph showing a young child with dark hair styled with bows on either side of the head. The child is looking upward with mouth open, holding what appears to be a lollipop or candy in their hand near their mouth. The child is wearing a light-colored garment with floral or patterned designs.

Behind the child is a decorative backdrop featuring boots with ornate stitching and what appears to be a cowboy or western theme. Large stylized letters are visible on the right side of the background. A small American flag with white stars on a dark field is visible on the left side of the backdrop.

At the bottom of the image is a metric ruler showing measurements from approximately 1 to 15 centimeters, and below that is a color reference strip with various colored squares including black, white, pink, red, yellow, green, and blue tones. This appears to be a professional photograph, likely from a mid-20th century period based on the photographic quality and styling.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00005524_24a_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00005524_24a_k,Selections from The Bancroft Library
bonney_cubanc_45_3_00218625,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Street Scene in Paris

This black and white photograph shows a Parisian street scene with a group of approximately twenty men gathered in the center of a cobblestone plaza or courtyard. The men are dressed in work clothes and coats typical of the mid-20th century, appearing to be engaged in some form of organized gathering or assembly. A small structure with an umbrella or canopy is visible among the group.

On the left side stands a large Haussmann-style apartment building with classic Parisian architectural features, including ornate stone facades, tall arched windows with metal grillwork, decorative wrought-iron balconies, and folded shutters. A sign reading ""COIFFEUR"" (hairdresser) is visible on the storefront level.

To the right stands a residential building of different architectural style with a rougher stone facade. Additional buildings and structures are visible in the background at the far right of the frame. The street level is paved with regular stone blocks creating a geometric pattern. A few individuals can be seen standing apart from the main group on both sides of the plaza. The sky appears overcast, typical of Parisian weather photography from this era.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,cubanc_45_3_01256329b_ii.jpg,https://berkeley.tind.io/r/sys-num/bonney_cubanc_45_3_00218625,Thérèse Bonney Photograph Collection circa 1850-circa 1955
