035__a,5880_a,Status,520__a-1,983__a-1,983__d-1,983__t-1,Image Name,Link to record,Collection name
calher_cubanc_25_132_00181030,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

This is a sepia-toned photograph showing a horse-drawn delivery wagon parked in front of a storefront. The white horse is harnessed to pull a wooden cart with large spoked wheels. Inside the cart sits a woman wearing light-colored clothing, while a man in a white shirt and hat stands on the back of the wagon. The storefront behind them displays signage that reads ""COTTLERS SUPPLIES"" and ""Real FLAVOR & EXTRACT,"" with additional partial text visible including what appears to be product names. The photograph shows a street scene with what looks like an early 20th-century setting. Another vehicle is partially visible to the right side of the image. The image has aged significantly and shows typical qualities of vintage photography from that era.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0051531A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_132_00181030,Jesse Brown Cook Scrapbooks Documenting San Francisco History and Law Enforcement
calher_cubanc_25_144_00171892,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows a man wearing glasses, a white dress shirt, dark vest, and a white apron with text on it, working on what appears to be a cake or baked good. He is holding a piping bag in both hands and concentrating on decorating the item on the work surface in front of him. The cake or pastry has a textured surface with what looks like frosting details. In the background, other people in formal clothing are visible but out of focus, and shelving or workspace fixtures can be seen. The photograph appears to be from several decades ago based on its style, quality, and the clothing visible.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0032581A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171892,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
calher_cubanc_25_144_00171902,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows a young child with dark hair styled with bows on either side of the head, photographed in profile facing left. The child has their mouth open and hand raised near their face. They are wearing what appears to be a light-colored garment with decorative patterns. Behind the child is a backdrop featuring ornate architectural or decorative elements including curved, scroll-like designs at the top and a small American flag with stars visible on the left side. Large stylized letters or text appear on the right side of the backdrop, though they are partially obscured. At the bottom of the photograph is a grayscale reference strip showing gradations from dark to light tones. The image has the quality and style of mid-20th century photography.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0032591A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171902,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
calher_cubanc_25_144_00171906,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows five men in what appears to be an interior space, possibly a dining establishment or social venue. A man wearing a white shirt and dark vest stands on the left, leaning toward four seated men who are arranged around a table. The seated men wear casual clothing including checkered and plain shirts. On the table in front of them are glasses and what appears to be place settings. The walls feature decorative elements including what look like mounted tools or implements and sketched artwork. A heater or radiator is visible on the right side of the image. In the background, there appears to be another person partially visible. The photograph has the characteristics of mid-20th century documentary or archival photography.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0032595A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171906,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
pictman_cubanc_79_55_00211558,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows four people seated around a table in a kitchen setting. From left to right: an older man with receding hair wearing a sleeveless shirt, a younger man with glasses and dark hair wearing a dark shirt, a woman with long dark hair wearing a checkered pattern shirt and a hat, and a man with a mustache wearing a light-colored collared shirt. The table in front of them has plates, bowls, and what appears to be food and beverages. The kitchen behind them features white walls, appliances including a stove and oven, shelving with hanging cooking utensils, and various items on the walls including a clock, calendar, decorative butterfly, and photographs. A color reference scale appears on the right edge of the photograph.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00007255_24a_k.jpg,https://berkeley.tind.io/r/sys-num/pictman_cubanc_79_55_00211558,Chauncey Hare photograph archive.
calher_cubanc_25_148_00172263,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Description

This stereoscopic card displays two nearly identical sepia-toned photographs side by side, numbered 58 and labeled with reference number 21084. The images show a woman in early 20th-century clothing (long dress and hat) feeding ice cream to a small black bear cub at what appears to be an outdoor location with a brick structure and wire fence visible in the background. The card is mounted on a gray-green board with text along the left edge reading ""Keystone View Company"" and ""Underwood & Underwood, Publishers,"" and text along the right edge stating ""Keystone View Card"" and ""Mrs. Herbert Hoover Feeds Ice Cream to a Small Black Bear Cub, Seward, Alaska."" A calibration chart showing gradual tonal gradations from light to dark gray appears at the top of the card. The card shows signs of age with minor discoloration and wear visible on the photographs.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0047608A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_148_00172263,"Stereographs of the West, ca. 1858-1906"
BancSelect_brk00000894_24b_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Description

This black and white photograph shows three people seated at a dark table in what appears to be an indoor setting. On the left is a woman with styled curled hair wearing a dark jacket over a light-colored blouse, smiling at the camera. In the center is a young boy in a light-colored shirt holding what appears to be an ice cream cone near his mouth. On the right is a U.S. military officer wearing a formal uniform with insignia, medals, and ribbons on the chest, along with a distinctive tall military cap. The officer has a prominent mustache and is looking toward the boy. On the far left side of the image, there is a vintage radio or electronic device with a circular dial visible. Behind them is a plain wall and what appears to be a window or glass panel. The photograph has the grainy quality typical of mid-20th century photography.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00000894_24b_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00000894_24b_k,Selections from The Bancroft Library
BancSelect_brk00004952_24a_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

This is a black and white photograph showing five men in what appears to be an indoor setting, possibly a restaurant or community space. An older man in a white shirt and dark vest stands on the left, leaning toward and conversing with three younger men seated at a table with glasses of water in front of them. A fourth man sits to the right. The seated men wear casual clothing including a checkered shirt and plain t-shirts. Behind them on the wall are decorative elements including hanging bicycles, what appears to be a woven basket, a white paper crane, and cylindrical metal fixtures mounted on the wall. The wall has two-tone coloring with a darker lower section. At the bottom of the photograph is a color calibration scale with numbered markers from 1 to 15, used for photograph processing and archival purposes.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00004952_24a_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00004952_24a_k,Selections from The Bancroft Library
BancSelect_brk00005524_24a_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows a young child with dark hair styled with bows on either side of the head, looking upward with mouth open. The child wears a light-colored garment with floral patterns visible on the sleeves. Behind the child is a decorative backdrop featuring illustrated elements including cowboy boots with stitched detailing at the top left, what appears to be a large stylized face or mask in the upper right with prominent features, and partial text visible on the right side. On the left side of the backdrop, an American flag with stars is partially visible. At the bottom of the photograph is a metric measurement scale in grayscale tones, showing numbered increments from 1 to 15, with colored sections including magenta, red, yellow, green, and blue. The photograph appears to be a professional studio image, likely from the mid-20th century.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00005524_24a_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00005524_24a_k,Selections from The Bancroft Library
bonney_cubanc_45_3_00218625,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Description

A black and white photograph depicts a European street scene, likely from Paris during the early-to-mid 20th century. The image shows a cobblestone plaza or courtyard surrounded by Haussmann-style buildings with characteristic architectural features including wrought iron balconies, large windows with shutters, and ornamental stonework. A group of approximately 15-20 people gathered in the center of the plaza, many wearing long coats and hats typical of the period. A storefront visible on the left side of the building displays the word ""COIFFEUR"" (French for hairdresser), indicating this was a commercial area. The building facades show multiple stories with mansard roofs visible in the background. Additional figures stand on the left side of the frame and near the buildings. The street surface consists of laid stone blocks, and the overall composition captures the architecture and street life of a historic Parisian neighborhood.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,cubanc_45_3_01256329b_ii.jpg,https://berkeley.tind.io/r/sys-num/bonney_cubanc_45_3_00218625,Thérèse Bonney Photograph Collection circa 1850-circa 1955
