035__a,5880_a,Status,520__a-1,983__a-1,983__d-1,983__t-1,Image Name,Link to record,Collection name
calher_cubanc_25_132_00181030,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This sepia-toned photograph shows a horse-drawn delivery wagon parked in front of a storefront in what appears to be an early 20th-century street scene. A light-colored horse is harnessed to a wooden cart with large spoked wheels. Two people are visible on the wagon: a man in a white shirt and cap stands elevated at the back, while a woman in light-colored clothing sits in the driver's area. The storefront behind features signage that reads ""BOTTLERS SUPPLIES"" and ""REA FLAVOR & EXTRACT,"" with partial text visible for other products. The building has large display windows and a brick facade. Additional commercial signage visible on the wagon includes text mentioning ""MILK"" and what appears to be product names like ""ORANGE ADE"" and ""SARATOGA."" The photograph is mounted on aged paper or cardboard with visible wear and aging marks around the edges, and handwritten notations appear at the top and margins.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-12,520,I0051531A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_132_00181030,Jesse Brown Cook Scrapbooks Documenting San Francisco History and Law Enforcement
calher_cubanc_25_144_00171892,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This is a black and white photograph showing a man wearing glasses, a white dress shirt with a dark tie and vest, and a light-colored apron with text on it, working on decorating a cake. He is focused on applying white frosting or icing to the top of a layered cake using what appears to be a piping bag held in both hands. The cake is positioned on a work surface in front of him. In the background, partially visible figures in dark clothing can be seen, and wooden shelving or workbenches are visible. The image appears to be from a vintage era, possibly mid-20th century, and documents what appears to be professional cake decorating work in a bakery or kitchen setting.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-12,520,I0032581A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171892,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
calher_cubanc_25_144_00171902,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows a young child with dark hair, parted in the middle with small bows on each side, eating what appears to be a lollipop or similar candy. The child is positioned in the foreground facing slightly toward the camera. Behind the child is an ornate decorative backdrop featuring stylized architectural elements including pagoda-style roofs with detailed patterns at the top, and large Asian characters or symbols on the right side. A small American flag with stars is visible on the left side of the background. The photograph appears to be a professional studio portrait from several decades ago, printed on white paper with a grayscale reference strip visible at the bottom of the image.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-12,520,I0032591A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171902,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
calher_cubanc_25_144_00171906,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows five men in what appears to be a mid-20th century interior space. An older man in a white shirt and dark vest stands on the left side, conversing with four younger men who are seated around a table. The seated individuals wear casual clothing including plaid and plain shirts. The room features industrial-style fixtures mounted on the walls above, including what appear to be lamps or ventilation equipment, and decorative items hanging from the ceiling. A tall metal object, possibly a radio or cabinet, is visible on the right side of the image. The photograph has the quality and style typical of documentary or archival photography from the 1940s-1950s era.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-12,520,I0032595A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171906,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
pictman_cubanc_79_55_00211558,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows four people seated around a table in a kitchen setting, appearing to share a meal. From left to right: an older man with a receding hairline wearing a light-colored sleeveless shirt; a younger man wearing glasses and a dark shirt; a woman in the center wearing a hat and a checkered pattern dress; and a man on the right with a mustache wearing a light-colored shirt. The table before them contains plates, glasses, and jars of what appears to be food items. The kitchen background includes cabinets on the left side, various utensils and tools hanging on the wall, a stove, and wall decorations including photographs, a butterfly decoration, a circular clock, and a calendar on the right wall. Kitchen items are visible on shelves and surfaces throughout the space. On the far right edge of the image is a color reference scale used for archival purposes.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-12,520,brk00007255_24a_k.jpg,https://berkeley.tind.io/r/sys-num/pictman_cubanc_79_55_00211558,Chauncey Hare photograph archive.
calher_cubanc_25_148_00172263,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Description

This is a stereoscopic card (stereograph) featuring two nearly identical sepia-toned photographs side by side, numbered 58 and numbered 21084. The image shows a woman in early 20th-century clothing—including a long dark dress, white blouse, and hat—holding what appears to be ice cream on a utensil or small tool, offering it to a small black bear cub standing on its hind legs. The scene takes place outdoors in what appears to be an enclosure with a wire or mesh fence visible in the background, alongside stone or brick structures and vegetation. The left edge contains text reading ""Keystone View Company"" and ""Stereographs Colorakers"" vertically, while the right edge reads ""Keystone View Card, Chicago, Ill. London, England."" At the bottom of the card, caption text reads ""Mrs. Herbert Hoover Feeds Ice Cream to a Small Black Bear Cub, Seward, Alaska."" A grayscale reference chart is visible at the top of the image.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-12,520,I0047608A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_148_00172263,"Stereographs of the West, ca. 1858-1906"
BancSelect_brk00000894_24b_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Black and White Photograph Description

This black and white photograph shows three people gathered around a dark table in what appears to be an indoor setting, likely from the 1940s based on the styling and image quality. On the left is a woman with styled, wavy hair wearing a dark jacket over a light-colored blouse, smiling at the camera. In the center is a young child wearing a light-colored shirt, holding what appears to be an ice cream cone or frozen treat near their mouth. On the right is a U.S. military officer wearing a khaki uniform with visible insignia, medals, and ribbons on his chest, along with a distinctive tall military cap bearing the U.S. insignia. The officer has a prominent mustache. On the left side of the image is a vintage radio or electronic device with decorative circular patterns. Various items are scattered on the dark table surface, and the background shows a plain wall with what appears to be a window or mirror in the upper left corner.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-12,520,brk00000894_24b_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00000894_24b_k,Selections from The Bancroft Library
BancSelect_brk00004952_24a_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Black and White Photograph of Interior Scene

This black and white photograph shows five men in an interior space, likely from the mid-20th century. An adult man wearing a white shirt and dark vest stands on the left, leaning toward and interacting with three younger men seated at a table. A fourth man stands partially visible in the background. The seated men wear casual clothing including checkered and plain shirts. On the table in front of them are glasses with what appears to be beverages. The wall behind them features decorative elements including hanging bicycle and basket designs, as well as what appear to be mounted sculptural objects or masks. The right side of the image shows wooden-framed chairs. At the bottom of the photograph is a color reference scale with numbered intervals from 1-15 and various colored blocks (black, purple, white, magenta, red, yellow, green, blue, and dark blue), which is used for calibration in photographic documentation. The image appears to be a historical or archival photograph.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-12,520,brk00004952_24a_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00004952_24a_k,Selections from The Bancroft Library
BancSelect_brk00005524_24a_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This is a black and white photograph of a young child with dark hair styled with bows on both sides of the head. The child's mouth is open and appears to be eating or holding something in their mouth. The child is wearing what appears to be a light-colored garment with floral patterns. Behind the child is a decorative backdrop featuring stylized boot illustrations with ornate details and checkered patterns in the upper portion, along with partial text visible on the right side that includes letters. On the lower left side of the backdrop, there is an American flag with stars visible. At the bottom of the photograph is a metric ruler showing measurements from 0 to 15 centimeters. The image appears to be a vintage photograph, possibly from the mid-20th century, with visible wear and creasing on the paper.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-12,520,brk00005524_24a_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00005524_24a_k,Selections from The Bancroft Library
bonney_cubanc_45_3_00218625,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Black and White Photograph of Paris Street Scene

This black and white photograph captures a Parisian street scene with a cobblestone courtyard or plaza surrounded by Haussmann-style buildings. The focal point is a large group of approximately fifteen to twenty people gathered in the center of the courtyard, most wearing coats and hats typical of mid-20th century fashion. They appear to be assembled around a central figure or event, with some individuals crouching or bending down. On the left side of the frame, a lone man stands against a building wall. To the right side, a few additional figures are scattered across the plaza.

The left building is a substantial multi-story structure featuring large arched windows, ornate stonework, and a decorative wrought-iron balcony railing on the upper level. A wooden door with ornamental panels is visible on the lower level. Above the group, a sign reading ""COIFFEUR"" (hairdresser) is mounted on the building's facade, indicating a commercial establishment. To the right are additional Haussmann-style buildings with similar architectural features, including mansard roofs with chimneys and regular window arrangements. The sky visible at the top of the frame is overcast or light-colored, suggesting diffused natural lighting typical of documentary photography from this era.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-12,520,cubanc_45_3_01256329b_ii.jpg,https://berkeley.tind.io/r/sys-num/bonney_cubanc_45_3_00218625,Thérèse Bonney Photograph Collection circa 1850-circa 1955
earthquake_cubanc_24_1_00056425,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows a street-level view of an urban construction site, likely from the early 20th century. In the foreground, a dirt ground is lined with several small wooden vendor shacks and storefronts. The leftmost structure displays a sign reading ""ICE COLD DRINKS, LUNCHES, COFFEE, ICE CREAM."" Several other similar structures with canvas or wooden coverings are visible along the street, with people visible near some of them. Behind these temporary buildings stands a multi-story building framework made of steel beams and scaffolding, appearing to be under active construction with multiple levels of horizontal supports visible. To the right and left of the construction site are damaged or deteriorated brick buildings with tall walls and openings where windows or doors once were, suggesting urban decay or previous destruction. The background shows additional tall buildings and utility structures. A color reference scale and metric ruler appear at the bottom of the photograph. The reference number ""3:2"" is visible in the lower left corner of the image.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-12,520,brk00002561_34a_k.jpg,https://berkeley.tind.io/r/sys-num/earthquake_cubanc_24_1_00056425,1906 San Francisco Earthquake and Fire Digital Collection
earthquake_cubanc_24_1_00056103,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

This black and white photograph shows an urban landscape of devastation and reconstruction. In the foreground, extensive rubble and debris are scattered across the street, including broken brick, stone, and metal fragments. On the left side stands a large neoclassical building with a prominent domed roof featuring a geometric lattice pattern, supported by tall white columns with Corinthian capitals. The building appears largely intact despite surrounding destruction. Overhead, multiple electrical wires and trolley lines crisscross the sky. In the middle distance, a street recedes with a few pedestrians and horse-drawn vehicles visible. On the right side, severely damaged brick buildings with partial walls and skeletal wooden framework remain standing, showing extreme structural destruction. The street surface in the foreground features a pattern of lines, possibly indicating trolley tracks or worn paving. At the bottom of the image is a color calibration scale with numbered sections ranging from black to white, with intermediate colors. The photograph appears to document post-disaster or post-conflict urban conditions, showing contrast between preserved architecture and widespread devastation.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-12,520,brk00002224_34a_k.jpg,https://berkeley.tind.io/r/sys-num/earthquake_cubanc_24_1_00056103,1906 San Francisco Earthquake and Fire Digital Collection
bancpostcards-C121407041_1331,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Description

This vintage postcard features Sdreckels Rotisserie, located on the 15th Floor of the Call Building in San Francisco, with proprietor A. Wolff. The composition is divided into three sections: On the left is an illustration of a tall ornate building with a distinctive tower and cupola labeled ""CAFE."" The central and largest section depicts the interior of the establishment, showing two elegantly dressed diners seated at a table with wine bottles, glasses, and dining items. Through large windows behind them, an expansive cityscape view of San Francisco's hillside buildings and structures is visible. At the bottom of this central scene, text reads ""ICE CREAM PARLOR · CAFE AND RESTAURANT 250 FEET ABOVE THE BAY."" An ornate brown and gold banner with curved decorative elements at the top displays the establishment's name. In the upper right corner, publisher information reads ""EDWARD H. MITCHELL, PUBLISHER; SAN FRANCISCO."" The postcard uses soft colors including light blue, cream, brown, and muted tones throughout the hand-colored lithographic design.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-12,520,C121407041_1331.jpg,https://berkeley.tind.io/r/sys-num/bancpostcards-C121407041_1331,Walter Robert and Gail Lynn Kransky collection of Edward H. Mitchell postcards
calher_cubanc_25_3_00204638,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows a street scene at the intersection of 144th Street, Broadway, and San Pablo Avenue. The image captures a busy urban street lined with multi-story buildings, with a prominent corner drugstore as the central focal point. The drugstore building features a distinctive curved architecture with a ""DRUGS"" sign visible on its roofline. The street is populated with numerous pedestrians wearing early 20th-century clothing, including long coats and hats. Several bicycles and what appears to be a horse-drawn carriage are visible on the street. Power lines and electrical poles cross overhead. Additional commercial buildings line both sides of the street, and the scene extends into the distance showing more structures and people. At the bottom of the photograph, there is a reference number ""P4601"" and a measurement scale bar. The image quality shows typical characteristics of aged photographic documentation with visible wear marks and dust spots on the negative.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-12,520,cubanc_25_3_00397369a_ii.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_3_00204638,Roy D. Graves Pictorial Collection
(SCalifPostcards)cubanc00000186_104a,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Los Angeles Pigeon Farm Near Elysian Park

This hand-colored photograph shows a sprawling pigeon farm with hundreds of white pigeons covering the ground in the foreground. The birds are densely packed across the sandy earth, creating a light-colored mass that dominates the lower portion of the image. Behind the pigeons are several wooden farm buildings with corrugated metal roofs, including long structures and smaller sheds arranged in a row. A wooden fence or barrier structure runs through the middle section of the property. The background features a mountainous landscape on the left side with forested areas, including tall evergreen trees in the middle distance. On the far left, hills rise up with scattered buildings visible on the slopes. A utility pole is visible on the right side of the image. The sky has a pale, overcast appearance typical of early color photography. The image shows signs of age, with creased edges and a faded sepia and pastel color tone. At the bottom of the photograph is a color reference scale used in archival photography.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-12,520,recid:322417-cubanc00000186_104a.jpg,https://berkeley.tind.io/r/sys-num/(SCalifPostcards)cubanc00000186_104a,Southern California postcards
