035__a,5880_a,Status,520__a-1,983__a-1,983__d-1,983__t-1,Image Name,Link to record,Collection name
calher_cubanc_25_132_00181030,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

This sepia-toned photograph shows a horse-drawn delivery wagon parked on a street in front of a storefront. A white or light-colored horse is hitched to a wooden wagon with large spoked wheels. Two people are visible on the wagon: a man in a white shirt and cap standing on an elevated platform at the back, and a woman seated in the middle section of the wagon. The wagon carries various product boxes and containers, including visible text reading ""Milk,"" ""Orange Ade,"" and what appears to be ""Saratoga."" The storefront behind the wagon displays signage that reads ""Bottlers Supplies"" and ""Real Flavor & Extract"" across its awning. Additional storefronts and windows are visible in the background. The photograph appears to be from the early 20th century, documenting a commercial milk or beverage delivery business. The image shows wear consistent with its age, with visible creases and discoloration throughout.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0051531A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_132_00181030,Jesse Brown Cook Scrapbooks Documenting San Francisco History and Law Enforcement
calher_cubanc_25_144_00171892,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This is a black and white photograph showing a man wearing glasses, a white dress shirt, dark tie, and a white apron working on decorating a cake. He is focused on piping frosting or icing onto what appears to be a round layer cake in front of him using a pastry bag. The man has dark hair and is photographed in profile from the right side. In the background, there are other people visible and wooden shelving or workspace elements. Additional items can be seen on the work surface to the left side of the image. The photograph appears to be a vintage documentation of a professional bakery or culinary setting.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0032581A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171892,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
calher_cubanc_25_144_00171902,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This is a black and white photograph showing a young child with dark hair styled with bows on either side of the head. The child is looking upward with mouth open and has one hand near the face. The child wears what appears to be a patterned garment. Behind the child is a decorative backdrop featuring Asian-inspired architectural elements on the left side, including curved roof designs with ornamental details, and large geometric text or signage on the right side in what appears to be Asian characters rendered in gray tones. A small American flag with stars is visible in the lower left portion of the backdrop. At the bottom of the photograph is a grayscale reference strip used for photographic standardization. The image appears to be a professional studio photograph, likely from the mid-20th century based on the style and quality of the print.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0032591A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171902,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
calher_cubanc_25_144_00171906,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows five men gathered in what appears to be an interior space with industrial or institutional elements. In the foreground, four men are seated or positioned around a table, while a fifth man stands in the background. The standing man on the left wears a light-colored shirt and dark vest, engaging with the seated men. Three men sit at the table wearing casual clothing including plaid and light-colored shirts. A fourth man stands in the background on the right side of the frame. The walls display various mounted objects including what appear to be tools or mechanical implements at the top, decorative items in the middle, and a cabinet or storage unit visible on the right side of the frame. A glass with what appears to be a beverage sits on the table in the center. The photograph has a grainy quality typical of mid-20th century photography and appears to be mounted on a beige backing sheet with a color reference chart visible on the left edge.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0032595A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171906,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
pictman_cubanc_79_55_00211558,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows four people seated around a table in a kitchen setting, appearing to share a meal or social gathering. From left to right: an older man with glasses wearing a light-colored sleeveless shirt, a younger man with glasses wearing dark clothing, a woman wearing a striped or checkered shirt and a hat, and a man with a mustache wearing a light-colored shirt. The table in front of them contains plates, cups, and what appear to be food items. The kitchen behind them features typical mid-century appliances including a stove, countertops with various items, and wall-mounted storage with kitchen utensils hanging on hooks. The walls display several items including photographs, a butterfly decoration, a clock, and a calendar. On the left side are kitchen appliances and a roll of paper towels. A color reference scale is visible on the right edge of the photograph.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00007255_24a_k.jpg,https://berkeley.tind.io/r/sys-num/pictman_cubanc_79_55_00211558,Chauncey Hare photograph archive.
calher_cubanc_25_148_00172263,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Stereoscopic Card Description

This is a stereoscopic card (stereoview) numbered 58, produced by Keystone View Company as part of their ""Manufacturers and Comforts"" educational series. The card contains two nearly identical sepia-toned photographs placed side-by-side, designed to create a three-dimensional effect when viewed through a stereoscope.

The images depict a woman in early 20th-century clothing (long dark dress, white apron, and hat) hand-feeding ice cream to a small black bear cub in what appears to be an outdoor enclosure. The bear stands on its hind legs while the woman holds out a spoon or implement containing the ice cream. Behind them is a brick structure with metal mesh fencing. Vegetation and trees are visible in the background. The caption at the bottom reads: ""21084 Mrs. Herbert Hoover Feeds Ice Cream to a Small Black Bear Cub, Seward, Alaska."" Text along the left margin indicates ""Keystone View Company, Manufacturers Comforts Publishers,"" while text on the right margin shows publication information typical of Keystone View products.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,I0047608A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_148_00172263,"Stereographs of the West, ca. 1858-1906"
BancSelect_brk00000894_24b_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows three people seated at a dark table in what appears to be an indoor setting. On the left is a woman with styled dark hair wearing a dark jacket over a light-colored blouse, smiling at the camera. In the center is a young boy in a light-colored shirt holding what appears to be an ice cream cone up to his mouth. On the right is a U.S. military officer wearing a uniform with a distinctive tall hat, multiple military insignia, medals on his chest, and a belt with buckle. The officer has a mustache and is looking toward the boy. Behind them on the table are various objects including what appears to be a radio or device on the left side with a dial face, and a small ashtray. In the background, there is a window and plain wall. The photograph has the quality and style characteristic of mid-20th century documentation photography.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00000894_24b_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00000894_24b_k,Selections from The Bancroft Library
BancSelect_brk00004952_24a_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Black and White Photograph of Interior Gathering

This black and white photograph shows five men gathered in what appears to be an interior space with decorated walls. An older man in a white dress shirt and dark vest stands on the left, leaning toward and speaking with three younger men who are seated at a table. A fourth man stands in the background. The table in front of the seated men holds glasses with beverages. The wall behind them features decorative elements including hanging bicycle wheels, woven baskets, and what appears to be a painted figure or portrait in the upper portion. The walls are divided by a dark horizontal band separating lighter upper and darker lower sections. On the right side of the frame, the back of a wooden chair with vertical slats is visible. At the bottom of the image, there is a color reference scale with numbered sections ranging from dark to light tones, indicating this is a archival or documentation photograph. The image quality and black-and-white format suggest this is a historical photograph, likely from the mid-twentieth century.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00004952_24a_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00004952_24a_k,Selections from The Bancroft Library
BancSelect_brk00005524_24a_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

This black and white photograph shows a young child with dark hair styled with bows on either side of her head. The child is pictured against a decorated backdrop featuring various graphic elements. Behind the child's head are illustrations of decorative boots with white trim and patterned details. Large stylized letters or numbers appear in the upper right portion of the background. A small American flag with visible stars is positioned on the left side of the composition. The child is holding what appears to be a lollipop or candy near their mouth. The child is wearing what looks like a patterned garment with floral or decorative designs. At the bottom of the photograph is a measurement scale in inches, numbered from 1 to 15, which is commonly used in archival or documentation photography. The image appears to be a vintage photograph, possibly from several decades ago based on its style and quality.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00005524_24a_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00005524_24a_k,Selections from The Bancroft Library
bonney_cubanc_45_3_00218625,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Street Scene Description

This black and white photograph shows a Parisian street scene with a large group of people gathered on a stone-paved courtyard. The central focus is approximately twenty men, mostly wearing long coats and hats typical of early-to-mid twentieth century fashion, assembled in a cluster in the middle of the square. On the left side stands a single man in a lighter colored coat, and additional figures are visible in the background and right side of the frame.

The background features ornate Haussmann-style Parisian architecture consisting of multi-story stone buildings with mansard roofs. The most prominent building on the left displays large arched windows, decorative stone carvings beneath the second-floor balcony, wrought iron railings, and shuttered windows. A sign reading ""COIFFEUR"" (barber/hairdresser) is visible on the building's facade. Additional buildings to the right show similar period architecture with regular window patterns and chimneys.

The ground surface is composed of large rectangular stone paving blocks arranged in a regular pattern. The cobblestone courtyard appears to be a public square or courtyard area, likely in Paris. The architectural style and clothing suggest this photograph dates from the 1940s-1950s era.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,cubanc_45_3_01256329b_ii.jpg,https://berkeley.tind.io/r/sys-num/bonney_cubanc_45_3_00218625,Thérèse Bonney Photograph Collection circa 1850-circa 1955
earthquake_cubanc_24_1_00056425,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This is a black and white photograph documenting an urban construction or demolition site, mounted on a gray board with reference number ""3/2"" written in the lower left corner and a color metric scale visible at the bottom. The image shows a wide dirt lot or cleared area in the foreground with several temporary wooden vendor stands or kiosks lined up in a row. The leftmost stand displays a sign reading ""ICE COLD DRINKS, LUNCHES COFFEE, ICE CREAM."" Several people can be seen near or inside these structures. Behind the vendor area, partially constructed steel framework of a multi-story building dominates the left-center of the image, with extensive metal beams and scaffolding visible. To the right stand several damaged or partially demolished brick buildings of varying heights, including what appears to be industrial or commercial structures with boarded-up windows and deteriorating walls. The overall scene suggests this photograph was taken during early-to-mid 20th century urban development or redevelopment, capturing the transitional state of a city block undergoing significant change.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00002561_34a_k.jpg,https://berkeley.tind.io/r/sys-num/earthquake_cubanc_24_1_00056425,1906 San Francisco Earthquake and Fire Digital Collection
earthquake_cubanc_24_1_00056103,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows an urban scene of destruction and reconstruction. On the left side stands an intact neoclassical building with a prominent dome featuring a latticed cupola, white columns supporting a portico, and classical architectural details. The building appears to be a civic or institutional structure. In stark contrast, the surrounding area is filled with extensive rubble, debris, and broken building materials scattered across the ground in the foreground. To the right, severely damaged brick structures with partially standing walls and skeletal frameworks are visible, indicating buildings destroyed or heavily damaged. A canvas tent is erected in the middle ground, and various figures and what appear to be carts or vehicles are present among the ruins. Overhead electric or trolley lines crisscross the sky. The cobblestone street is visible in the foreground. At the bottom of the image is a metric scale bar showing measurements from 1 to 10, with a color reference chart displaying various tones from black to white, along with reds, yellows, greens, and blues. The photograph documents the contrast between preserved architecture and widespread urban destruction, suggesting this was taken during a post-disaster or post-conflict period.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,brk00002224_34a_k.jpg,https://berkeley.tind.io/r/sys-num/earthquake_cubanc_24_1_00056103,1906 San Francisco Earthquake and Fire Digital Collection
bancpostcards-C121407041_1331,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

This vintage promotional card showcases Spreckels Rotisserie, a San Francisco establishment from the early 20th century. At the top, an ornate gold and brown banner bears the restaurant's name and indicates it was located on the 15th floor of the Call Building, operated by A. Wolff. The card's publisher is credited as Edward H. Mitchell of San Francisco in the top right corner.

The main illustration depicts two elegantly dressed diners—a man in a dark suit and a woman in a coral-colored dress—seated at a white-clothed table on the restaurant's terrace. Between them sits a bottle, decorative centerpiece, and wine glass. A large window behind them frames an expansive cityscape view showing San Francisco's dense urban landscape with numerous buildings and hills. To the left side of the card, a separate image displays the iconic Call Building, a tall ornate tower with a distinctive domed top, labeled ""CAFE.""

At the bottom of the card, text reads ""Ice Cream Parlor, Cafe and Restaurant"" and notes the location is ""250 Feet Above the Bay."" Decorative potted plants flank the scene on either side.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-07,520,C121407041_1331.jpg,https://berkeley.tind.io/r/sys-num/bancpostcards-C121407041_1331,Walter Robert and Gail Lynn Kransky collection of Edward H. Mitchell postcards
