035__a,5880_a,Status,520__a-1,983__a-1,983__d-1,983__t-1,Image Name,Link to record,Collection name
calher_cubanc_25_132_00181030,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

This sepia-toned photograph shows a horse-drawn delivery wagon parked in front of a storefront. A light-colored horse wearing harness is hitched to a wooden wagon with large spoked wheels. Two men are visible on the wagon: one seated in the front area and another standing in the back near stacked boxes and containers. The storefront behind them displays signage reading ""FLAVOR & EXTRACT"" and partial text mentioning ""SUPPLIES"" on the left side. Additional storefront windows and signage are visible in the background. Various product boxes and containers are stacked on the wagon, including what appears to be ""MILK"" labeling and references to ""ORANGE ADE"" and ""SARATOGA"" on the side of the wagon. The image appears to be from the early 20th century, documenting a commercial milk or beverage delivery operation.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-06,520,I0051531A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_132_00181030,Jesse Brown Cook Scrapbooks Documenting San Francisco History and Law Enforcement
calher_cubanc_25_144_00171892,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows a man in work attire carefully decorating a cake. The man wears glasses, a white collared shirt with a dark vest and tie, and a white apron. He is focused on piping frosting onto a large rectangular cake using a pastry bag held in his right hand. The cake appears to have a textured surface with piped decorative elements. In the background, other people are partially visible, and shelving with items can be seen. The setting appears to be a professional kitchen or bakery workspace. The photograph has a vintage quality and is mounted on a light-colored backing.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-06,520,I0032581A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171892,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
calher_cubanc_25_144_00171902,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This is a black and white photograph showing a young child with dark shoulder-length hair and hair ribbons, looking upward with mouth open. The child is wearing a patterned garment and holds an American flag with white stars visible on its blue section in the lower left portion of the image. Behind the child is decorative background scenery featuring Asian-inspired architectural elements, including upturned eaves with ornamental details on the left side and large geometric lettering on the right side. A calibration strip with graduated gray tones appears at the bottom of the photograph. The image appears to be a historical photograph, likely from the mid-20th century based on its style and quality.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-06,520,I0032591A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171902,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
calher_cubanc_25_144_00171906,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows an interior scene with five people gathered around a table. In the foreground, four men are seated or positioned around a dark table, appearing to be in conversation or engaged in an activity together. One man stands to the left wearing a light-colored shirt and dark vest. On the right side of the image is a tall, angular piece of furniture or equipment with a distinctive curved handle or projection. The background wall is light-colored and decorated with various hanging items, including what appear to be decorative objects at the top of the wall and wall-mounted fixtures or tools in the center. A fifth person can be seen in the background of the room. The photograph appears to be from a historical period, likely mid-20th century, based on the clothing styles, furniture design, and photographic quality. The setting suggests this may be a community space, social venue, or recreational facility.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-06,520,I0032595A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_144_00171906,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe"
pictman_cubanc_79_55_00211558,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows four people seated around a table in a kitchen setting, appearing to share a meal or gathering. From left to right: an older man with a round face wearing a light-colored sleeveless shirt, a man wearing glasses and a dark shirt, a woman wearing a checkered dress and hat, and a man with a mustache wearing a light-colored short-sleeved shirt. The table in front of them displays various dishes, bowls, and containers with food and condiments. Behind them, the kitchen features white walls with various items mounted or hanging, including cooking utensils hanging from a rack, two portrait photographs, a round clock, a calendar on the wall, and kitchen appliances. On the left side, shelving with kitchen items is visible. A color reference strip appears on the right edge of the photograph. The overall image quality and styling suggests this is a vintage photograph, likely from several decades ago.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-06,520,brk00007255_24a_k.jpg,https://berkeley.tind.io/r/sys-num/pictman_cubanc_79_55_00211558,Chauncey Hare photograph archive.
calher_cubanc_25_148_00172263,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This is a stereoscopic card from the Keystone View Company featuring two nearly identical sepia-toned photographs side by side, numbered 58 and labeled 21084. The images show a woman in early 20th-century clothing (long dress, hat, and light-colored gloves) feeding ice cream to a small black bear cub. The scene is set outdoors against a brick wall with climbing vines or ivy visible in the background. The card's left edge displays ""Keystone View Company"" text and ""Manufacturers of Stereoscopes"" along the bottom margin. The right edge contains additional text reading ""Soward, Alaska"" and ""Mrs. Herbert Hoover Feeds Ice Cream to a Small Black Bear Cub, Soward, Alaska."" At the top of the card is a grayscale reference strip showing tonal variations. The stereoscopic images are designed to create a three-dimensional effect when viewed through a stereoscope viewer.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-06,520,I0047608A.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_148_00172263,"Stereographs of the West, ca. 1858-1906"
BancSelect_brk00000894_24b_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows three people seated at a table in an indoor setting. On the left is a woman with styled blonde hair wearing a dark jacket over a light-colored shirt, smiling at the camera. In the center is a young boy in a light-colored shirt holding what appears to be an ice cream cone near his mouth. On the right is a U.S. military officer wearing a dress uniform with a distinctive tall cap, multiple insignia badges, and decorations on his chest, including medal ribbons. The officer has a mustache and is looking toward the boy. A dark table is positioned in front of them, and on the left side of the image is a piece of equipment with a circular dial or gauge visible. The background shows plain walls and what appears to be a window. The photograph appears to be from the mid-20th century based on the styling and photographic quality.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-06,520,brk00000894_24b_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00000894_24b_k,Selections from The Bancroft Library
BancSelect_brk00004952_24a_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This black and white photograph shows five men in what appears to be an interior space, likely a restaurant or bar. An older man in a dark vest and white shirt stands on the left, engaging with three younger men who are seated at a table. A fourth person is visible in the background. The seated men are wearing casual clothing including a checkered shirt, a light-colored t-shirt, and a patterned shirt. On the table in front of them are glasses with beverages. The walls feature decorative elements including what appear to be drawings or artwork of bicycles and other hanging items. Behind the men, a dark horizontal panel or shelf divides the wall, and cylindrical objects resembling pipes or architectural elements are mounted above. On the right side of the image, curved chair backs are visible. A color reference scale and measurement ruler appear at the bottom of the photograph, indicating this is a documented archival image.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-06,520,brk00004952_24a_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00004952_24a_k,Selections from The Bancroft Library
BancSelect_brk00005524_24a_k,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This is a black and white photograph showing a young child with dark hair styled with bows on either side of the head. The child's mouth is open and they appear to be holding something small in their hand near their mouth. The child is wearing a light-colored garment with a floral or patterned design. Behind the child is a decorative backdrop featuring stylized boot or shoe designs with dotted patterns and scalloped edges in the upper portion, and large geometric text or letters on the right side. On the left side of the backdrop, there is a small American flag visible with white stars on a dark field. At the bottom of the image is a metric ruler showing measurements from 1 to 15. A color reference chart with multiple colored squares is also visible at the bottom of the photograph.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-06,520,brk00005524_24a_k.jpg,https://berkeley.tind.io/r/sys-num/BancSelect_brk00005524_24a_k,Selections from The Bancroft Library
bonney_cubanc_45_3_00218625,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

This black and white photograph shows a Parisian street scene with a large group of people gathered in the center of a cobblestone courtyard or plaza. The crowd, consisting of approximately 20-25 people wearing long coats and hats typical of mid-20th century fashion, stands beneath a black umbrella or canopy structure. On the left side of the image stands a distinguished Haussmann-style stone building featuring ornate architectural details, including large tall windows with shutters, decorative carved elements, an ornamental balcony with ironwork railing, and sculpted corbels supporting an overhanging cornice. A storefront sign reading ""COIFFEUR"" (hairdresser) is visible on the building's facade. To the right, neighboring buildings with simpler brick construction are visible. The courtyard is paved with regular stone or brick blocks, and additional figures can be seen on the periphery of the scene. The sky is overcast and bright, characteristic of documentary photography from this era.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-06,520,cubanc_45_3_01256329b_ii.jpg,https://berkeley.tind.io/r/sys-num/bonney_cubanc_45_3_00218625,Thérèse Bonney Photograph Collection circa 1850-circa 1955
earthquake_cubanc_24_1_00056425,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

This black and white photograph shows an urban street scene with significant construction and demolition activity. In the foreground is a dirt street with several small vendor stalls and kiosks lining the left side, including one prominently displaying a sign reading ""ICE COLD DRINKS, LUNCHES, COFFEE, ICE CREAM."" The centerpiece of the image is a large multi-story steel framework building under construction, with extensive scaffolding covering its upper levels and completed lower floors visible beneath. Surrounding this new construction are older, partially demolished brick buildings and industrial structures of varying heights, some appearing damaged or in states of disrepair. The buildings on the right include tall structures with grid-patterned window openings. The composition suggests this is a post-war urban redevelopment or reconstruction scene, with the contrast between the old deteriorating architecture and the new modern steel construction framework being particularly evident. At the bottom of the image is a metric ruler and color reference scale. The reference number ""3:2"" appears in the lower left corner of the photograph.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-06,520,brk00002561_34a_k.jpg,https://berkeley.tind.io/r/sys-num/earthquake_cubanc_24_1_00056425,1906 San Francisco Earthquake and Fire Digital Collection
earthquake_cubanc_24_1_00056103,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

This is a black and white photograph depicting urban destruction and reconstruction. On the left side stands an intact neoclassical building with a distinctive domed roof, ornamental columns, and a cupola at its summit. The dome features a geometric latticed pattern. The building appears to be a civic or institutional structure, preserved amid surrounding devastation.

In stark contrast, the right side of the image shows extensive rubble, debris, and ruined brick structures. Large piles of broken concrete, bricks, and construction waste are scattered across the foreground. A partially constructed or damaged multi-story brick building with exposed framework stands on the right side of the image. Wooden scaffolding and support structures are visible among the ruins.

The street scene includes several people, a horse-drawn cart with white canvas covering, and overhead electrical or trolley lines crisscrossing the sky. A cobblestone street runs through the foreground. The photograph appears to document post-war reconstruction efforts, showing the contrast between preserved historical architecture and extensive urban damage requiring rebuilding.

At the bottom of the image is a color reference scale used for archival photography purposes.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-06,520,brk00002224_34a_k.jpg,https://berkeley.tind.io/r/sys-num/earthquake_cubanc_24_1_00056103,1906 San Francisco Earthquake and Fire Digital Collection
bancpostcards-C121407041_1331,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"# Image Description

This vintage advertising card for Sdreckels Rotisserie features a decorative ornate gold banner at the top with the establishment's name and location details: ""A. Wolff prop. 15th Floor Call Bldg San Francisco."" The card is divided into two main sections. On the left is a colored illustration of a tall building with a distinctive domed top labeled ""CAFE,"" representing a San Francisco landmark. The right side depicts an interior scene of the restaurant showing two patrons - a man and woman - seated at a table set with wine bottles, glasses, and a floral centerpiece, dining while gazing out a large window at an expansive cityscape of San Francisco. Below the dining scene, text identifies the establishment as an ""Ice Cream Parlor - Cafe and Restaurant"" located ""250 Feet Above the Bay."" The card has a light cream background with brown and blue tones dominating the color palette. At the top right corner, publisher information reads ""Edward H. Mitchell, Publisher, San Francisco.""",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-06,520,C121407041_1331.jpg,https://berkeley.tind.io/r/sys-num/bancpostcards-C121407041_1331,Walter Robert and Gail Lynn Kransky collection of Edward H. Mitchell postcards
calher_cubanc_25_3_00204638,Image description generated by AI (Claude Haiku 4.5) and reviewed on [MM/YYYY].,success,"This is a black and white historical photograph showing a busy urban street intersection, labeled at the bottom as ""144th St., Broadway & San Pablo Ave."" The image depicts a wide street filled with pedestrians, bicycles, and horse-drawn vehicles. The central focal point is a prominent corner building with ornate architecture featuring a curved facade, multiple stories with regularly spaced windows, and a ""DRUGS"" sign visible on its roofline. The building appears to be a commercial structure typical of early 20th-century American architecture. Surrounding the main building are other multi-story structures lining both sides of the street. The street itself shows trolley or streetcar tracks running through it. Numerous people dressed in period clothing are scattered throughout the scene, with many wearing dark coats and hats. Electrical poles and power lines are visible overhead. The photograph shows signs of age with some spots and degradation on the image surface. A metric ruler appears at the bottom of the frame, and reference numbers ""46.28"" and ""64601"" are printed on the lower portion.",mokelumne-image-description|us.anthropic.claude-haiku-4-5-20251001-v1:0|mokelumne/1,2026-05-06,520,cubanc_25_3_00397369a_ii.jpg,https://berkeley.tind.io/r/sys-num/calher_cubanc_25_3_00204638,Roy D. Graves Pictorial Collection
